Leg1,Leg2,Leg3,Leg4,Type,Latest,Change,Open,High,Low,Previous,Volume,Time
CLK6,CLM6,,,SP,2.25,0.06,1.71,4.4,1.69,2.19,13732,2026-04-21
CLK6,CLM6,CLN6,,BF,-0.89,0.4,-1.46,-0.4,-1.83,-1.29,186,2026-04-21
CLK6,CLN6,,,SP,6.22,0.55,6.26,6.55,6.07,5.67,11,2026-04-21
CLK6,CLQ6,,,SP,9.59,0.91,9.59,9.59,9.59,8.68,1,2026-04-21
CLM6,CLN6,,,SA,90.67,2.84,0,90.67,90.67,87.83,N/A,2026-04-22
CLM6,CLN6,,,SP,4.77,0.19,4.56,5.64,4.49,4.58,14478,"08:27 CT"
CLM6,CLN6,CLQ6,,BF,0.81,0.18,0.67,0.94,0.54,0.63,1424,"08:27 CT"
CLM6,CLN6,CLQ6,CLU6,SA,86.82,2.24,0,86.82,86.82,84.58,N/A,2026-04-22
CLM6,CLN6,QAM6,QAN6,XS,-8.38,-0.35,0,-8.38,-8.38,-8.03,N/A,2026-04-21
CLM6,CLQ6,,,SP,8.73,0.2,8.34,10.32,8.32,8.53,3596,"08:27 CT"
CLM6,CLU6,,,SP,11.78,0.33,11.21,13.68,11.13,11.45,3875,"08:26 CT"
CLM6,CLU6,CLZ6,,BF,6.33,-0.07,6.47,6.92,6.33,6.4,14,"08:12 CT"
CLM6,CLV6,,,SP,13.9,0.2,13.51,16.23,13.51,13.7,149,"08:14 CT"
CLM6,CLX6,,,SP,15.47,0.21,15.92,15.99,15.18,15.26,13,"08:21 CT"
CLM6,CLZ6,,,SP,17.05,0.55,16.15,19.33,16.01,16.5,3134,"08:27 CT"
CLM6,CLZ6,CLM7,,BF,12.49,1.82,0,12.49,12.49,10.67,N/A,2026-04-22
CLM6,CLF7,,,SP,19.99,2.45,19.99,19.99,19.99,17.54,1,"19:17 CT"
CLM6,CLG7,,,SP,18.6,0.2,18.6,18.6,18.6,18.4,1,"07:21 CT"
CLM6,CLH7,,,SP,19.42,2.74,15.47,19.88,15.47,16.68,6,2026-04-22
CLM6,CLJ7,,,SP,19.67,2.49,0,19.67,19.67,17.18,3,2026-04-22
CLM6,CLK7,,,SP,20.12,2.54,0,20.12,20.12,17.58,N/A,2026-04-21
CLM6,CLM7,,,SP,21.24,0.73,20.32,23.82,20.18,20.51,223,"08:26 CT"
CLM6,CLN7,,,SP,23.22,2.33,23.22,23.22,23.22,20.89,10,"19:15 CT"
CLM6,CLQ7,,,SP,21.25,2.68,0,21.25,21.25,18.57,N/A,2026-04-21
CLM6,CLU7,,,SP,21.56,2.72,0,21.56,21.56,18.84,N/A,2026-04-21
CLM6,CLV7,,,SP,21.83,2.75,0,21.83,21.83,19.08,N/A,2026-04-21
CLM6,CLX7,,,SP,22.08,2.79,0,22.08,22.08,19.29,N/A,2026-04-21
CLM6,CLZ7,,,SP,23.04,0.71,22.14,25.84,21.92,22.33,167,"08:26 CT"
CLM6,CLF8,,,SP,22.62,2.84,0,22.62,22.62,19.78,N/A,2026-04-21
CLM6,CLG8,,,SP,22.91,2.88,0,22.91,22.91,20.03,N/A,2026-04-21
CLM6,CLH8,,,SP,23.17,2.9,0,23.17,23.17,20.27,N/A,2026-04-21
CLM6,CLJ8,,,SP,23.39,2.92,0,23.39,23.39,20.47,N/A,2026-04-21
CLM6,CLK8,,,SP,23.56,2.95,0,23.56,23.56,20.61,N/A,2026-04-21
CLM6,CLM8,,,SP,23.42,-0.29,25.43,27.27,23.42,23.71,24,"07:45 CT"
CLM6,CLN8,,,SP,23.9,2.99,0,23.9,23.9,20.91,N/A,2026-04-22
CLM6,CLQ8,,,SP,24.11,3,0,24.11,24.11,21.11,N/A,2026-04-22
CLM6,CLU8,,,SP,24.32,3.01,0,24.32,24.32,21.31,N/A,2026-04-22
CLM6,CLV8,,,SP,24.51,3.03,0,24.51,24.51,21.48,N/A,2026-04-22
CLM6,CLX8,,,SP,24.66,3.06,0,24.66,24.66,21.6,N/A,2026-04-22
CLM6,CLZ8,,,SP,24.15,2.4,23.15,24.81,23.15,21.75,24,2026-04-22
CLM6,CLF9,,,SP,25.01,3.06,0,25.01,25.01,21.95,N/A,2026-04-22
CLM6,CLG9,,,SP,25.22,3.08,0,25.22,25.22,22.14,N/A,2026-04-22
CLM6,CLH9,,,SP,25.41,3.09,0,25.41,25.41,22.32,N/A,2026-04-22
CLM6,CLJ9,,,SP,25.58,3.1,0,25.58,25.58,22.48,N/A,2026-04-22
CLM6,CLK9,,,SP,25.72,3.11,0,25.72,25.72,22.61,N/A,2026-04-22
CLM6,CLM9,,,SP,25.89,3.12,0,25.89,25.89,22.77,N/A,2026-04-22
CLM6,CLN9,,,SP,26.1,3.13,0,26.1,26.1,22.97,N/A,2026-04-22
CLM6,CLQ9,,,SP,26.28,3.14,0,26.28,26.28,23.14,N/A,2026-04-22
CLM6,CLU9,,,SP,26.46,3.14,0,26.46,26.46,23.32,N/A,2026-04-22
CLM6,CLV9,,,SP,26.64,3.15,0,26.64,26.64,23.49,N/A,2026-04-22
CLM6,CLX9,,,SP,26.82,3.16,0,26.82,26.82,23.66,N/A,2026-04-22
CLM6,CLZ9,,,SP,26.95,3.17,0,26.95,26.95,23.78,N/A,2026-04-22
CLM6,CLM0,,,SP,28.04,3.19,0,28.04,28.04,24.85,N/A,2026-04-22
CLM6,CLZ0,,,SP,29.07,3.23,0,29.07,29.07,25.84,N/A,2026-04-22
CLM6,CLM1,,,SP,30.13,3.25,0,30.13,30.13,26.88,N/A,2026-04-22
CLM6,CLZ1,,,SP,31.16,3.29,0,31.16,31.16,27.87,N/A,2026-04-22
CLM6,CLM2,,,SP,32.2,3.29,0,32.2,32.2,28.91,N/A,2026-04-22
CLM6,CLZ2,,,SP,33.17,3.29,0,33.17,33.17,29.88,N/A,2026-04-22
CLM6,CLM3,,,SP,34.14,3.29,0,34.14,34.14,30.85,N/A,2026-04-22
CLM6,CLZ3,,,SP,35.14,3.29,0,35.14,35.14,31.85,N/A,2026-04-22
